strain,MoS2_homo,MoS2_lumo,WSe2_homo,WSe2_lumo
0.98,-9.46566261863803,-7.728483849443053,-8.636280930035294,-7.403036521329171
0.9816666666666667,-9.461586473881985,-7.715248462982777,-8.630273419322542,-7.3901123729102665
0.9833333333333333,-9.459771412030523,-7.705923608185887,-8.625800005829564,-7.377024478670575
0.985,-9.456238938039059,-7.694729510728829,-8.619164938375977,-7.365454670875705
0.9866666666666667,-9.4550285598156,-7.713012449504621,-8.615397897821563,-7.351739985377662
0.9883333333333333,-9.452248114964801,-7.730896132450823,-8.610142915563928,-7.340116254564033
0.99,-9.45056089450749,-7.7484451179135165,-8.605058105442545,-7.328719475452354
0.9916666666666667,-9.449522265303592,-7.767654985470177,-8.600333152869071,-7.317487597894301
0.9933333333333333,-9.448060066211733,-7.785985723647816,-8.595574719077595,-7.306590420308327
0.995,-9.445210340475372,-7.802030498404932,-8.591021562239222,-7.296049765642341
0.9966666666666667,-9.444976134843287,-7.820962638953082,-8.586649799843304,-7.300384157674976
0.9983333333333333,-9.442748918224432,-7.8368892837659505,-8.582520740758024,-7.316394424074446
1.0,-9.441266847924258,-7.8538266597501245,-8.578466195903676,-7.332304388830513
1.0016666666666667,-9.439950608070998,-7.870760765024668,-8.57433362119025,-7.348128701923854
1.0033333333333334,-9.43785330658949,-7.886027761791006,-8.570806670578076,-7.3637648255742185
1.005,-9.420444625097943,-7.904945676843841,-8.566827607760192,-7.379293863145147
1.0066666666666666,-9.399205353546492,-7.921469238050495,-8.56371562581971,-7.395266221364025
1.0083333333333333,-9.37786446875315,-7.9383005562496045,-8.560518282188118,-7.41081731274394
1.01,-9.356886002519204,-7.954826512318154,-8.557569760019197,-7.4263460875756895
1.0116666666666667,-9.33644527710985,-7.970845135149734,-8.554471380605621,-7.44176572722948
1.0133333333333334,-9.315718063421576,-7.987501950784456,-8.551812285576531,-7.457199494621738
1.0150000000000001,-9.295522553910342,-8.003588635370715,-8.548927160130743,-7.472161995419495
1.0166666666666666,-9.275769833282832,-8.019856351493448,-8.54655345148227,-7.487390523678224
1.0183333333333333,-9.256196940004696,-8.036030778397395,-8.544266421566725,-7.502423243430276
1.02,-9.23648059581883,-8.050882290357784,-8.542196860851611,-7.517418525007411
