strain,MoS2_homo,MoS2_lumo,WSe2_homo,WSe2_lumo
0.96,-6.308278997691078,-2.730105522478978,-5.776467984846819,-1.681829425515044
0.9626666666666667,-6.280243676333387,-2.7652561843595818,-5.749081319089722,-1.7211594811010955
0.9653333333333333,-6.252961552696053,-2.7992461026971256,-5.7222126151520465,-1.7599585145231549
0.968,-6.226221709723758,-2.8325537842529034,-5.693135184342617,-1.7978030070589774
0.9706666666666667,-6.1992094584523905,-2.866841452619401,-5.6680200217020165,-1.836151879480942
0.9733333333333333,-6.173833680764334,-2.8997324263358744,-5.642690838742881,-1.8732628206369277
0.976,-6.150351429071799,-2.9320133073984973,-5.617851164645457,-1.9097764943857838
0.9786666666666667,-6.1276498058634985,-2.9650295353461704,-5.593701846666918,-1.945937258343955
0.9813333333333333,-6.102687386236132,-2.9961841679465664,-5.569887957936289,-1.981565520749148
0.984,-6.07830805455475,-3.027717262911799,-5.54681215306763,-2.0168616875070153
0.9866666666666667,-6.05497453305925,-3.0588130120277848,-5.5241937411473785,-2.0515921062867193
0.9893333333333333,-6.032262941331358,-3.0895246048330467,-5.502092464717225,-2.0858994427651845
0.992,-6.008497040419167,-3.119809035963614,-5.480288033118035,-2.1197484857653475
0.9946666666666667,-5.988002886777386,-3.149299671384359,-5.459241495788305,-2.1531998867814135
0.9973333333333333,-5.966512777014974,-3.1789986193058555,-5.43870450175719,-2.1862031083525157
1.0,-5.947464956569849,-3.2083240676965787,-5.418727979106684,-2.218807847055671
1.0026666666666666,-5.926333787372053,-3.237461875320927,-5.399198277964848,-2.2509660596757906
1.0053333333333334,-5.905801948361793,-3.266084897054447,-5.3804953662508845,-2.2827727993477707
1.008,-5.889756842804597,-3.2937880537169155,-5.362132427545937,-2.314194519941382
1.0106666666666666,-5.87163268813334,-3.321570149127104,-5.344229447376745,-2.345173941453595
1.0133333333333334,-5.8539040996128,-3.3490842856348833,-5.326936153465663,-2.3758557990745137
1.016,-5.8368557349869254,-3.376233869802755,-5.310075204067103,-2.4060498709873155
1.0186666666666666,-5.82156050859952,-3.40283219326866,-5.293910901745773,-2.436049081163822
1.0213333333333334,-5.804869954960536,-3.429406636260184,-5.278135941994792,-2.4654652147056595
1.024,-5.789311206731092,-3.4555770768344836,-5.262908587440713,-2.4945802907892665
1.0266666666666666,-5.774367573024323,-3.4814443844267555,-5.248219965194043,-2.523419091281845
1.0293333333333334,-5.759259255933133,-3.5062670905251796,-5.234040772946601,-2.5519084595866364
1.032,-5.74542960795064,-3.5322679949373312,-5.220389325819232,-2.580032510512337
1.0346666666666666,-5.732222660821165,-3.5572773924911294,-5.207287503532374,-2.607895861290669
1.0373333333333334,-5.718677003634774,-3.581990394788021,-5.194754078036702,-2.6353945933668292
1.04,-5.706817947586114,-3.6062853441637497,-5.182627981039118,-2.6625581938651752
