strain,MoS2_homo,MoS2_lumo,WSe2_homo,WSe2_lumo
0.965,-9.493471988399914,-7.849255675357358,-8.69488840393262,-7.530409924629592
0.9664285714285714,-9.491394349430431,-7.836903809913283,-8.68708716802261,-7.518285982993789
0.9678571428571429,-9.486790640167367,-7.824481955420863,-8.681889700240278,-7.504551316239423
0.9692857142857143,-9.4871240327017,-7.813735659635146,-8.675587090224152,-7.491921045850312
0.9707142857142856,-9.480959553161801,-7.799363715027437,-8.668329213594356,-7.4806050767764845
0.9721428571428571,-9.477316633862358,-7.787550346233121,-8.662314952766492,-7.465818012165063
0.9735714285714285,-9.473586071901952,-7.777488354007611,-8.657481138053118,-7.455299377489899
0.975,-9.470646755602514,-7.766381273234643,-8.65067178865889,-7.443630233288783
0.9764285714285714,-9.468372297350655,-7.755154349144429,-8.64505989723179,-7.4302594537032345
0.9778571428571429,-9.465225118082916,-7.744121376122655,-8.640119120963655,-7.4210759286625
0.9792857142857142,-9.463588864545443,-7.733323314309782,-8.634460176725902,-7.409570898573063
0.9807142857142856,-9.461187947361017,-7.722930513587729,-8.62919369294578,-7.39839068253765
0.9821428571428571,-9.457498796044353,-7.711475025103244,-8.624217676514526,-7.387507574042423
0.9835714285714285,-9.456116597155564,-7.703872694513024,-8.620427621622103,-7.37610977598872
0.985,-9.453277503360106,-7.698957702148559,-8.614544648472172,-7.366307063175169
0.9864285714285714,-9.452430728891397,-7.715155846828911,-8.611553581178278,-7.354225410192623
0.9878571428571428,-9.451699391243482,-7.732636742440615,-8.60697492040827,-7.344217937187422
0.9892857142857142,-9.448343776857673,-7.745049440346415,-8.602535762469897,-7.33436922620727
0.9907142857142857,-9.448208293827273,-7.7622567454650735,-8.598332261146162,-7.324610697374311
0.9921428571428571,-9.445592332486877,-7.776758290154454,-8.594156868086541,-7.315081243670939
0.9935714285714285,-9.444465687388202,-7.792695136523747,-8.590147473255593,-7.30578813062071
0.995,-9.4437546987409,-7.809219276352136,-8.586230600913623,-7.296745678723115
0.9964285714285713,-9.441660599033424,-7.822700949310557,-8.582439171352773,-7.302240973968351
0.9978571428571428,-9.44097819902709,-7.8387717569370805,-8.578850508258261,-7.316001289211382
0.9992857142857142,-9.438385645609333,-7.850717214233275,-8.57532825500913,-7.329727227671041
1.0007142857142857,-9.438443871338853,-7.86645597211972,-8.571815847188754,-7.34331517371883
1.002142857142857,-9.436172739100277,-7.8799643180483585,-8.568308415540958,-7.356687818614451
1.0035714285714286,-9.434177562383685,-7.892682547974818,-8.565385837154855,-7.370290291315027
1.005,-9.418493999090506,-7.909299977493699,-8.56197101413628,-7.383589165370466
1.0064285714285715,-9.400210586679883,-7.923524405709443,-8.559259710478404,-7.397289590852864
1.0078571428571428,-9.381822076640578,-7.93796955985983,-8.556339655136332,-7.41066450622108
1.0092857142857141,-9.363621073574643,-7.9522977621913,-8.553216138279879,-7.423595132288099
1.0107142857142857,-9.345843811892887,-7.966230948244918,-8.551037638030826,-7.437278057041723
1.012142857142857,-9.328356115645025,-7.979903348549682,-8.548576112733977,-7.450466827430905
1.0135714285714286,-9.310491378863702,-7.994312008825578,-8.546277791471637,-7.4636728500219185
1.015,-9.293287863721792,-8.007911546837539,-8.543710088097358,-7.47641090048038
1.0164285714285715,-9.275983606516021,-8.021748431307518,-8.54167770742785,-7.489516249669567
1.0178571428571428,-9.259185938022796,-8.035105166723639,-8.538994721489814,-7.501628451622699
1.0192857142857141,-9.242658261504676,-8.048117289442185,-8.53753292346221,-7.515052881005516
1.0207142857142857,-9.226105009792423,-8.061383632578716,-8.53613374010422,-7.528131495092678
1.022142857142857,-9.209799852348059,-8.07435517418406,-8.534388157324578,-7.540716750254697
1.0235714285714286,-9.193349268041427,-8.08780663897015,-8.532497960571117,-7.552972930858962
1.025,-9.177512616348562,-8.100366123600763,-8.53097113190264,-7.56539170488306
1.0264285714285712,-9.16147130743088,-8.113526028955324,-8.529569043340453,-7.577755418448887
1.0278571428571428,-9.14538917600939,-8.126849450134383,-8.528175634659064,-7.58992310629119
1.0292857142857141,-9.12993399837257,-8.141120940241697,-8.52697699641363,-7.60208898478969
1.0307142857142857,-9.112139549287637,-8.151784832644001,-8.525787752010947,-7.614052362949337
1.032142857142857,-9.099385990532177,-8.164047629084154,-8.524721673684558,-7.625950953227706
1.0335714285714286,-9.08485795194128,-8.175316130601626,-8.523708197617479,-7.637705406401759
1.035,-9.069957924599795,-8.187512098845454,-8.522812569093098,-7.649363135598994
