lattice,lumo,homo,lumo kpts_x,lumo kpts_y,homo kpts_x,homo kpts_y
3.184,-3.666290346715259,-5.313606714066719,-0.19444444444444442,-0.16666666666666669,0.3333333333333333,0.3333333333333333
3.1990000000000003,-3.6642690610223423,-5.314429325647061,-0.16666666666666669,-0.19444444444444442,0.3333333333333333,0.3333333333333333
3.214,-3.6614349083115423,-5.3137573006639265,-0.16666666666666669,0.3611111111111111,0.3333333333333333,0.3333333333333333
3.229,-3.669713634017131,-5.326224919349503,-0.16666666666666669,-0.19444444444444442,0.3333333333333333,0.3333333333333333
3.244,-3.6742725395219495,-5.33324987784504,-0.16666666666666669,-0.19444444444444442,-0.3333333333333333,-0.3333333333333333
3.259,-3.6791855201339763,-5.340294105856982,-0.19444444444444442,-0.16666666666666669,-0.3333333333333333,-0.3333333333333333
3.274,-3.685990510319007,-5.348878594848415,0.16666666666666669,0.19444444444444448,-0.3333333333333333,-0.3333333333333333
3.289,-3.6924057346783203,-5.356557036786311,-0.16666666666666669,-0.19444444444444442,-0.3333333333333333,-0.3333333333333333
3.304,-3.702220786313504,-5.367486507537073,-0.16666666666666669,-0.19444444444444442,-0.3333333333333333,-0.3333333333333333
3.319,-3.6975154152702214,-5.360434568001693,0.3611111111111111,-0.16666666666666669,0.3333333333333333,0.3333333333333333
