lattice,lumo,homo,lumo kpts_x,lumo kpts_y,homo kpts_x,homo kpts_y
3.184,-3.9128830427553174,-6.042374721994049,0.3333333333333333,0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.1990000000000003,-3.97022860291188,-6.022248649498921,0.3333333333333333,0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.214,-4.022152341308995,-6.000325237145672,-0.3333333333333333,-0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.229,-4.081058250058977,-5.985524310458885,0.3333333333333333,0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.244,-4.126321362907663,-5.963711578869609,-0.3333333333333333,-0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.259,-4.186523167138132,-5.953998923464354,0.3333333333333333,0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.274,-4.230083123665602,-5.934427654951721,-0.3333333333333333,-0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.289,-4.287720886651665,-5.927146226389744,-0.3333333333333333,-0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.304,-4.3350711399113075,-5.914434084739223,-0.3333333333333333,-0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
3.319,-4.380334387025351,-5.901940436518295,-0.3333333333333333,-0.3333333333333333,-6.938893903907228e-18,-6.938893903907228e-18
