shift,z_dist,gap,gap_soc,gap_scissors,gap_scissors_soc
0.5,-5.94492984892012,0.15931416258732645,0.1251679162004563,0.7771980983635731,0.7418530495871225
0.5388888888888889,-5.918729471358793,0.16104934092056333,0.12906638386959957,0.7742105897988193,0.7411045645126689
0.5777777777777777,-5.882508474113777,0.15836349165269525,0.1284588740665794,0.7656338244145896,0.7346651270120204
0.6166666666666667,-5.832749976175304,0.141387915801102,0.11361425019756144,0.7406238069236964,0.7116145562510398
0.6555555555555556,-5.809354001136706,0.1385046897984168,0.11176328277107062,0.73316136127975,0.7050624524294732
0.6944444444444444,-5.81718256669682,0.1400041613519145,0.11290044962966705,0.7365426861824506,0.7080502945762668
0.7333333333333334,-5.885219483289417,0.1773297022054463,0.1478667330994694,0.7809954795737399,0.7502272465407611
0.7722222222222223,-6.007186917522191,0.23717570444838776,0.20385184219305963,0.8570400314535908,0.8229280624715141
0.8111111111111111,-6.154311201881033,0.30555379081080813,0.2580718875771857,0.9416676572694166,0.9043566617361869
0.85,-6.299100038985934,0.3642732907218498,0.21327689704692698,1.0192585789907862,0.9794875382298226
