shift,z_dist,gap
0.0,6.913731982724464,0.455181558323857
0.034482758620689655,6.899352193133417,0.4572221938138905
0.06896551724137931,6.858047170622131,0.4603508145487931
0.10344827586206896,6.8251424804013965,0.46394885787134876
0.13793103448275862,6.744720235385287,0.47209398382474177
0.1724137931034483,6.648154854378559,0.4785364878813855
0.20689655172413793,6.596343352266784,0.47781515340108716
0.24137931034482757,6.463484144419233,0.47852999672022245
0.27586206896551724,6.410976105889496,0.47765705239732936
0.3103448275862069,6.372698163679047,0.47238430800877396
0.3448275862068966,6.36504823814858,0.4725154784700195
0.3793103448275862,6.387550281706568,0.4764921084416881
0.41379310344827586,6.414316415273786,0.48271543542741635
0.4482758620689655,6.428312802173217,0.4931675366993473
0.48275862068965514,6.424062066918493,0.5073800396386958
0.5172413793103449,6.419391231016398,0.5253419184148922
0.5517241379310345,6.3708524024906446,0.54737538314325
0.5862068965517241,6.355695671353407,0.5622941108662641
0.6206896551724138,6.347661918387004,0.5732780935893942
0.6551724137931034,6.315800152440898,0.5867676166337065
0.6896551724137931,6.308921751305263,0.5890389307405387
0.7241379310344828,6.371772738552167,0.5653209606650985
0.7586206896551724,6.445095482334718,0.5451844406899217
0.7931034482758621,6.540128080999722,0.5183424267154644
0.8275862068965517,6.611509224793407,0.5016361632038119
0.8620689655172413,6.755147321048671,0.4774738020598396
0.896551724137931,6.824566619662038,0.46811117168445193
0.9310344827586207,6.876119864670088,0.46060646741269695
0.9655172413793103,6.894146158903045,0.4571644547204161
1.0,6.913731997985094,0.4551815566001707
