shift,z_dist,strain,gap
0.0,6.0,0.99,"(0.476430230604312, 1.7146460895022124, 1.2382158588979004)"
0.0,6.0,0.9915384615384615,"(0.4545740056927534, 1.6808993011891058, 1.2263252954963524)"
0.0,6.0,0.9930769230769231,"(0.4330597683462585, 1.6471188562772883, 1.2140590879310298)"
0.0,6.0,0.9946153846153846,"(0.4101695587559584, 1.6120186736128697, 1.2018491148569113)"
0.0,6.0,0.9961538461538462,"(0.38866703815807724, 1.5787528873618621, 1.190085849203785)"
0.0,6.0,0.9976923076923077,"(0.36826201048079454, 1.545696492415396, 1.1774344819346014)"
0.0,6.0,0.9992307692307693,"(0.34649214391573224, 1.5118712450199885, 1.1653791011042562)"
0.0,6.0,1.0007692307692309,"(0.3269397592805561, 1.479864001495684, 1.152924242215128)"
0.0,6.0,1.0023076923076923,"(0.30620162407854745, 1.4465069524976033, 1.1403053284190559)"
0.0,6.0,1.0038461538461538,"(0.2861131247284314, 1.4138036312351547, 1.1276905065067233)"
0.0,6.0,1.0053846153846153,"(0.267242421602204, 1.3822325930970574, 1.1149901714948534)"
0.0,6.0,1.006923076923077,"(0.24815924791499477, 1.3507735346692222, 1.1026142867542275)"
0.0,6.0,1.0084615384615385,"(0.22749943800162975, 1.3174221056777455, 1.0899226676761158)"
0.0,6.0,1.01,"(0.20823643462602215, 1.2849881287742515, 1.0767516941482294)"
0.0,6.071428571428571,0.99,"(0.5701727222171309, 1.684767835180869, 1.1145951129637381)"
0.0,6.071428571428571,0.9915384615384615,"(0.5474214025112991, 1.6503606090465237, 1.1029392065352246)"
0.0,6.071428571428571,0.9930769230769231,"(0.5245825229462859, 1.6159417654422001, 1.0913592424959142)"
0.0,6.071428571428571,0.9946153846153846,"(0.5026755166248706, 1.5827863328184346, 1.080110816193564)"
0.0,6.071428571428571,0.9961538461538462,"(0.48074465614977746, 1.5491228007007822, 1.0683781445510048)"
0.0,6.071428571428571,0.9976923076923077,"(0.4596874900682011, 1.516268381306929, 1.056580891238728)"
0.0,6.071428571428571,0.9992307692307693,"(0.4387263374818564, 1.4836894656284252, 1.0449631281465688)"
0.0,6.071428571428571,1.0007692307692309,"(0.41719604199286575, 1.450080100084072, 1.0328840580912062)"
0.0,6.071428571428571,1.0023076923076923,"(0.39652711044052036, 1.4171409000833612, 1.0206137896428409)"
0.0,6.071428571428571,1.0038461538461538,"(0.3749045666589328, 1.3838557674040632, 1.0089512007451304)"
0.0,6.071428571428571,1.0053846153846153,"(0.3542728510283738, 1.3512223061266875, 0.9969494550983137)"
0.0,6.071428571428571,1.006923076923077,"(0.3355604231253806, 1.3196637727916687, 0.9841033496662881)"
0.0,6.071428571428571,1.0084615384615385,"(0.31517523623905874, 1.2873036275980299, 0.9721283913589711)"
0.0,6.071428571428571,1.01,"(0.29545577061021755, 1.2554790841057057, 0.9600233134954882)"
0.0,6.142857142857143,0.99,"(0.6514104196248549, 1.6567308184362997, 1.0053203988114447)"
0.0,6.142857142857143,0.9915384615384615,"(0.6284141722281439, 1.6228420183213987, 0.9944278460932549)"
0.0,6.142857142857143,0.9930769230769231,"(0.6057317589761356, 1.5891980622416542, 0.9834663032655185)"
0.0,6.142857142857143,0.9946153846153846,"(0.5828218344331677, 1.5550033435534165, 0.9721815091202488)"
0.0,6.142857142857143,0.9961538461538462,"(0.5596937876903361, 1.5208116089218064, 0.9611178212314704)"
0.0,6.142857142857143,0.9976923076923077,"(0.5380360959452423, 1.4878031439060815, 0.9497670479608392)"
0.0,6.142857142857143,0.9992307692307693,"(0.5161596440058683, 1.4542996572193345, 0.9381400132134662)"
0.0,6.142857142857143,1.0007692307692309,"(0.49348906963828565, 1.4204338213787728, 0.9269447517404872)"
0.0,6.142857142857143,1.0023076923076923,"(0.472919863129586, 1.388146656378744, 0.9152267932491579)"
0.0,6.142857142857143,1.0038461538461538,"(0.45279594858190664, 1.3563327485398007, 0.903536799957894)"
0.0,6.142857142857143,1.0053846153846153,"(0.4316946439673566, 1.3235288588620073, 0.8918342148946508)"
0.0,6.142857142857143,1.006923076923077,"(0.4117791379335405, 1.2916538279546639, 0.8798746900211234)"
0.0,6.142857142857143,1.0084615384615385,"(0.3906296538104531, 1.2591734128606251, 0.868543759050172)"
0.0,6.142857142857143,1.01,"(0.3713202019592273, 1.2277149156288831, 0.8563947136696558)"
0.0,6.214285714285714,0.99,"(0.7198269338017446, 1.6288956651530173, 0.9090687313512728)"
0.0,6.214285714285714,0.9915384615384615,"(0.6963620597879344, 1.5948230991232906, 0.8984610393353561)"
0.0,6.214285714285714,0.9930769230769231,"(0.6729189588281027, 1.5608142582109665, 0.8878952993828638)"
0.0,6.214285714285714,0.9946153846153846,"(0.6523203037424504, 1.5294400614121526, 0.8771197576697022)"
0.0,6.214285714285714,0.9961538461538462,"(0.6285934982758211, 1.4945564631999657, 0.8659629649241446)"
0.0,6.214285714285714,0.9976923076923077,"(0.6056996822229539, 1.4608583991138127, 0.8551587168908588)"
0.0,6.214285714285714,0.9992307692307693,"(0.5843270419658724, 1.4287298265380286, 0.8444027845721562)"
0.0,6.214285714285714,1.0007692307692309,"(0.5612513748224948, 1.394589348815701, 0.8333379739932063)"
0.0,6.214285714285714,1.0023076923076923,"(0.539220464904688, 1.3616514219968623, 0.8224309570921743)"
0.0,6.214285714285714,1.0038461538461538,"(0.5177458810374775, 1.3290774434095827, 0.8113315623721051)"
0.0,6.214285714285714,1.0053846153846153,"(0.4966752193660927, 1.2963721448551022, 0.7996969254890095)"
0.0,6.214285714285714,1.006923076923077,"(0.47569860984503287, 1.264074926952623, 0.7883763171075902)"
0.0,6.214285714285714,1.0084615384615385,"(0.4545559125929226, 1.2319763700117847, 0.7774204574188621)"
0.0,6.214285714285714,1.01,"(0.4341445578011943, 1.1999722530636, 0.7658276952624056)"
0.0,6.285714285714286,0.99,"(0.780486237782342, 1.6042105953012, 0.823724357518858)"
0.0,6.285714285714286,0.9915384615384615,"(0.7563011141602409, 1.569922041429038, 0.8136209272687971)"
0.0,6.285714285714286,0.9930769230769231,"(0.7327881235911724, 1.5361595880594314, 0.803371464468259)"
0.0,6.285714285714286,0.9946153846153846,"(0.7098423663703229, 1.5029194331056603, 0.7930770667353374)"
0.0,6.285714285714286,0.9961538461538462,"(0.685763276175233, 1.4684368954907063, 0.7826736193154733)"
0.0,6.285714285714286,0.9976923076923077,"(0.6630168792622817, 1.435237205067612, 0.7722203258053304)"
0.0,6.285714285714286,0.9992307692307693,"(0.6403791270412027, 1.4019358592791544, 0.7615567322379517)"
0.0,6.285714285714286,1.0007692307692309,"(0.6175180637771708, 1.3686815322355599, 0.7511634684583891)"
0.0,6.285714285714286,1.0023076923076923,"(0.5969095451911305, 1.3370856034523564, 0.7401760582612259)"
0.0,6.285714285714286,1.0038461538461538,"(0.5738234549519925, 1.3031491612756216, 0.7293257063236291)"
0.0,6.285714285714286,1.0053846153846153,"(0.552825040710124, 1.2712470103178706, 0.7184219696077466)"
0.0,6.285714285714286,1.006923076923077,"(0.5304550139793328, 1.2382753811700276, 0.7078203671906947)"
0.0,6.285714285714286,1.0084615384615385,"(0.5098650450535211, 1.2066838176238337, 0.6968187725703126)"
0.0,6.285714285714286,1.01,"(0.4875550597245104, 1.1734072200046912, 0.6858521602801808)"
0.0,6.357142857142857,0.99,"(0.8328717774199657, 1.581195598366348, 0.7483238209463823)"
0.0,6.357142857142857,0.9915384615384615,"(0.8084659399786663, 1.546863456902867, 0.7383975169242006)"
0.0,6.357142857142857,0.9930769230769231,"(0.7840365931925313, 1.5125119849607003, 0.728475391768169)"
0.0,6.357142857142857,0.9946153846153846,"(0.7600011086207514, 1.478328942923719, 0.7183278343029675)"
0.0,6.357142857142857,0.9961538461538462,"(0.7361656459465487, 1.4449580241302713, 0.7087923781837226)"
0.0,6.357142857142857,0.9976923076923077,"(0.7126248397488925, 1.4114974772496542, 0.6988726375007618)"
0.0,6.357142857142857,0.9992307692307693,"(0.6896532720964005, 1.3782838357263454, 0.6886305636299449)"
0.0,6.357142857142857,1.0007692307692309,"(0.6661699294975064, 1.3446389425050125, 0.6784690130075061)"
0.0,6.357142857142857,1.0023076923076923,"(0.6432491554888646, 1.3111469957979498, 0.6678978403090852)"
0.0,6.357142857142857,1.0038461538461538,"(0.6218592476452083, 1.2796487557105614, 0.6577895080653531)"
0.0,6.357142857142857,1.0053846153846153,"(0.5986011168615998, 1.246027486867489, 0.6474263700058892)"
0.0,6.357142857142857,1.006923076923077,"(0.5774401620800873, 1.2140502479687094, 0.6366100858886221)"
0.0,6.357142857142857,1.0084615384615385,"(0.5567119476636132, 1.1824785921032162, 0.625766644439603)"
0.0,6.357142857142857,1.01,"(0.5357293427388041, 1.1507603046354604, 0.6150309618966563)"
0.0,6.428571428571429,0.99,"(0.8770274759155985, 1.5585596869855889, 0.6815322110699904)"
0.0,6.428571428571429,0.9915384615384615,"(0.8518152353361343, 1.5235093329813734, 0.671694097645239)"
0.0,6.428571428571429,0.9930769230769231,"(0.8264121916310673, 1.4887013241893454, 0.6622891325582781)"
0.0,6.428571428571429,0.9946153846153846,"(0.8014930244029231, 1.4547742404190651, 0.653281216016142)"
0.0,6.428571428571429,0.9961538461538462,"(0.7781462312980754, 1.421389067788787, 0.6432428364907117)"
0.0,6.428571428571429,0.9976923076923077,"(0.7545105709349905, 1.3884471690652833, 0.6339365981302928)"
0.0,6.428571428571429,0.9992307692307693,"(0.7290646998461807, 1.353122935492524, 0.6240582356463433)"
0.0,6.428571428571429,1.0007692307692309,"(0.7058165210768848, 1.3199188440424603, 0.6141023229655755)"
0.0,6.428571428571429,1.0023076923076923,"(0.6845668853670015, 1.2889063688593736, 0.6043394834923721)"
0.0,6.428571428571429,1.0038461538461538,"(0.6623139397866082, 1.2563332105723974, 0.5940192707857892)"
0.0,6.428571428571429,1.0053846153846153,"(0.6395686308995949, 1.2234351633496154, 0.5838665324500205)"
