shift,z,vec1,vec2,gap
0.0,6.9318704281834,3.226041018100306,3.2260410181145995,0.5563124785859356
0.034482758620689655,6.917849138371441,3.2257434481677882,3.2257434481819804,0.5609414486281995
0.06896551724137931,6.888208184981567,3.226066505180632,3.226066505196255,0.5634191813166572
0.10344827586206896,6.833635775158383,3.226307876874764,3.2263078768931774,0.569421030455411
0.13793103448275862,6.761941776163754,3.226737388551767,3.2267373885705197,0.5753617985672786
0.1724137931034483,6.672421512581272,3.2272992380763705,3.227299238079484,0.5776018818349515
0.20689655172413793,6.5944114294139755,3.227101974640314,3.2271019746411103,0.5786610192434885
0.24137931034482757,6.491763288559859,3.228354416031661,3.2283544160345916,0.5810488713380952
0.27586206896551724,6.434201121664728,3.2285196816330286,3.228519681658755,0.5739360177857588
0.3103448275862069,6.399684640885541,3.2280441861991274,3.228044186214234,0.5706083661547954
0.3448275862068966,6.393029749165754,3.2273132948240795,3.227313294824426,0.5703411061976277
0.3793103448275862,6.41451502635635,3.2262966205582657,3.2262966205520893,0.575542483951176
0.41379310344827586,6.434999093712646,3.225325411032284,3.225325411018374,0.5857044697458812
0.4482758620689655,6.445983852339593,3.225586079610742,3.22558607961377,0.5936922353764489
0.48275862068965514,6.456269701378311,3.2253478368833925,3.2253478368730018,0.6070611050614054
0.5172413793103449,6.453034693111531,3.2254499004249557,3.225449900435762,0.6192093551188209
0.5517241379310345,6.438461226997605,3.225086313250069,3.2250863132533865,0.6310909677623092
0.5862068965517241,6.410533502317577,3.2253500777200212,3.225350077724614,0.6482759823406825
0.6206896551724138,6.373582841195141,3.2265488600073646,3.2265488600117815,0.6620257735161145
0.6551724137931034,6.348968744232986,3.227369469188372,3.2273694691802755,0.6740890133638607
0.6896551724137931,6.36119220141134,3.228141243024553,3.228141243054188,0.6696218468260382
0.7241379310344828,6.393920373301686,3.228481101203652,3.2284811012484163,0.6607731705170591
0.7586206896551724,6.465340990812772,3.228244874748456,3.228244874782307,0.6400566910682473
0.7931034482758621,6.59274905948306,3.2267502632645244,3.2267502632673657,0.6132002693099657
0.8275862068965517,6.661429628669355,3.227203931388682,3.227203931415585,0.5993872617755494
0.8620689655172413,6.754626315759216,3.226602910220466,3.2266029102438534,0.5849496428707721
0.896551724137931,6.83205882405341,3.226217918936177,3.2262179189594344,0.5725858633780928
0.9310344827586207,6.8854998996595835,3.2260754317783147,3.226075431800425,0.5635864246205665
0.9655172413793103,6.917430920381683,3.225757324508158,3.2257573245292193,0.5603566710046224
1.0,6.931870428196319,3.226041018059858,3.226041018066678,0.5563124791868189
