shift,z_dist,pre_gap,post_gap
0.0,6.887373466372873,0.4208430009909291,0.23900540911804924
0.034482758620689655,6.876252683150986,0.4240011260969502,0.24096574706117735
0.06896551724137931,6.8374788077725075,0.4326999115037393,0.24613264734625429
0.10344827586206896,6.78521594129797,0.44286278824128067,0.2496133689694287
0.13793103448275862,6.692109904905722,0.4522357880689019,0.2559351007957442
0.1724137931034483,6.590599499287048,0.4595483942541023,0.26339397600835296
0.20689655172413793,6.48693878350355,0.46272642925428714,0.2660032856550243
0.24137931034482757,6.397163177712496,0.46484355433006214,0.24192726799468817
0.27586206896551724,6.330752161876825,0.46579767098773384,0.21423179569517725
0.3103448275862069,6.297532292421204,0.4645178927258233,0.20022876274390167
0.3448275862068966,6.2789606119678325,0.467395046653944,0.19013122005508998
0.3793103448275862,6.300068118378588,0.47009317837382697,0.2008749903466035
0.41379310344827586,6.389381595356822,0.4752394534395133,0.2469146609200124
0.4482758620689655,6.385978862064087,0.4804679084629821,0.24869935072285676
0.48275862068965514,6.3953475101820345,0.49029722486733474,0.25821639510425287
0.5172413793103449,6.394665937322852,0.5030750042260947,0.2679370636811855
0.5517241379310345,6.389435362537075,0.5141021903928076,0.2764260807536064
0.5862068965517241,6.336222231574132,0.527035393492715,0.2660893498589353
0.6206896551724138,6.274088169951671,0.5335455184194267,0.2520563235171936
0.6551724137931034,6.239555146544049,0.5349783868044249,0.24046025561237921
0.6896551724137931,6.2423663392635245,0.5340107196821733,0.24202742153676182
0.7241379310344828,6.288563499758997,0.5304542300864145,0.253309127612953
0.7586206896551724,6.396226165975834,0.5191609946200286,0.2827228380222307
0.7931034482758621,6.473313004146695,0.5057113312080064,0.292865590300096
0.8275862068965517,6.579525327787248,0.48612450291067577,0.28609192951747975
0.8620689655172413,6.69443048623477,0.4691103725470596,0.26652593287753934
0.896551724137931,6.772996644630485,0.4506404358414279,0.2545667979982688
0.9310344827586207,6.8203233739605,0.43513495757748544,0.24811888874568894
0.9655172413793103,6.887556938247171,0.4243433214927955,0.23926301924197257
1.0,6.887374353744699,0.42084300098713523,0.2390052398743885
