shift,z_dist,gap
0.0,6.961517870266315,0.7163046597663919
0.034482758620689655,6.972602731516904,0.7181916258731313
0.06896551724137931,6.916277507179309,0.7226947617336315
0.10344827586206896,6.880576362463124,0.7259602154647169
0.13793103448275862,6.798196416143973,0.7338278188212128
0.1724137931034483,6.69918065664916,0.7426112614926986
0.20689655172413793,6.598359416054066,0.7458460515948582
0.24137931034482757,6.548586850919403,0.7450892878193819
0.27586206896551724,6.494851610471422,0.7441498079703504
0.3103448275862069,6.45280358650303,0.7402330250376177
0.3448275862068966,6.434034806684421,0.7393035542079053
0.3793103448275862,6.456456871274302,0.7437788313040333
0.41379310344827586,6.4834562726953795,0.7487422641176471
0.4482758620689655,6.499577435293956,0.7581960010106447
0.48275862068965514,6.518760405659611,0.7677602776673393
0.5172413793103449,6.496920064709741,0.783758818421758
0.5517241379310345,6.4624366444252015,0.7990550297354725
0.5862068965517241,6.444293573098065,0.8138988220343907
0.6206896551724138,6.415283747017368,0.8285310216933686
0.6551724137931034,6.398712190879545,0.8340257449574482
0.6896551724137931,6.4200074307570585,0.8312769170282238
0.7241379310344828,6.441544823490842,0.820891860995686
0.7586206896551724,6.50962252012941,0.8031812163036165
0.7931034482758621,6.597624984996019,0.7780010100190704
0.8275862068965517,6.691520438146702,0.757950955787083
0.8620689655172413,6.788070256610334,0.7424915148903081
0.896551724137931,6.877448969204469,0.7286098565701359
0.9310344827586207,6.910976910530488,0.72373207687279
0.9655172413793103,6.951107000756727,0.7181271831733045
1.0,6.9615178719119495,0.7163046582065992
