x,y,lumo kx,lumo ky,lumo kz,homo kx,homo ky,homo kz
-0.1640828755433624,38.26348506915434,-0.32142857142857145,-0.35714285714285715,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-0.40456291907010633,34.960125906446486,-0.32142857142857145,-0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-0.6447316210749431,31.658104551085366,0.32142857142857145,0.35714285714285715,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-0.8834970783942216,28.356652540559455,-0.32142857142857145,-0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-1.1206425035663095,25.05466819019573,0.32142857142857145,0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-1.355829012765809,21.752031758312064,0.32142857142857145,0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-1.5299019318073648,59.97841001974765,-0.35714285714285715,-0.32142857142857145,0.0,0.32142857142857145,0.32142857142857145,0.0
-1.5881944164866197,18.447945390631062,-0.32142857142857145,-0.35714285714285715,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-1.7477607723335515,56.663484484219055,0.35714285714285715,0.32142857142857145,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-1.817670496042699,15.140866468462924,-0.32142857142857145,-0.35714285714285715,0.0,-0.32142857142857145,-0.35714285714285715,0.0
-1.9690179781418604,53.349839216258445,0.35714285714285715,0.32142857142857145,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-10.071059466971876,20.663501473767433,0.32142857142857145,0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-10.214824742840193,58.94550908841624,0.32142857142857145,0.32142857142857145,0.0,-0.35714285714285715,-0.32142857142857145,0.0
-10.433866476359082,55.62958587619387,0.32142857142857145,0.32142857142857145,0.0,0.35714285714285715,0.32142857142857145,0.0
-10.658362207375568,52.31600952262273,0.32142857142857145,0.32142857142857145,0.0,-0.35714285714285715,-0.32142857142857145,0.0
-10.888717962840243,49.00560578261068,0.32142857142857145,0.32142857142857145,0.0,0.35714285714285715,0.32142857142857145,0.0
-11.124396576959063,45.69636006705383,0.32142857142857145,0.32142857142857145,0.0,-0.35714285714285715,-0.32142857142857145,0.0
-11.363992122228872,42.38675636211368,0.32142857142857145,0.32142857142857145,0.0,-0.32142857142857145,-0.35714285714285715,0.0
-11.604546900802664,39.075581432862094,-0.32142857142857145,-0.32142857142857145,0.0,-0.32142857142857145,-0.35714285714285715,0.0
-11.845724640550728,35.76274679692133,0.32142857142857145,0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-12.087832262310693,32.449150796391834,-0.32142857142857145,-0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-12.329848532338708,29.135202736111477,0.32142857142857145,0.35714285714285715,0.0,0.32142857142857145,0.32142857142857145,0.0
-12.571241736164295,25.8210976037817,0.32142857142857145,0.35714285714285715,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-12.812170357256784,22.50659266658713,-0.32142857142857145,-0.35714285714285715,0.0,-0.32142857142857145,-0.32142857142857145,0.0
-12.964690158810383,60.81057550269455,0.32142857142857145,0.32142857142857145,0.0,-0.35714285714285715,-0.32142857142857145,0.0
-13.181742252464657,57.49280626459002,-0.32142857142857145,-0.32142857142857145,0.0,0.35714285714285715,0.32142857142857145,0.0
