x,y,i,j,z_ml,z_dft,gap,correction,Mo_strain,W_strain
-0.1640828755433624,38.26348506915434,0.3826737143802998,0.35052560714366887,6.426033910014812,6.426033910014812,0.23864836968406877,0.12290873635762734,0.0030009364826204723,-0.0017133866127285718
-0.40456291907010633,34.960125906446486,0.4239196110276722,0.32368524829386985,6.444664160571914,6.444664160571916,0.24005596244712935,0.12403634482704118,0.0028658054902222277,-0.0016827931880455127
-0.6447316210749431,31.658104551085366,0.46456308020406256,0.2981330084054146,6.461390774754243,6.461390774754243,0.24271378096872287,0.12594264348946482,0.0026025820804328062,-0.0015055055258309498
-0.8834970783942216,28.356652540559455,0.5053993577086069,0.27325752759630756,6.478282021480084,6.478282021480084,0.2446859606475127,0.12865157209409617,0.00218531390162226,-0.001097523892811457
-1.1206425035663095,25.05466819019573,0.5475610071073643,0.24841056503580244,6.49884960051239,6.498849600512395,0.2468402808577297,0.13215200823144146,0.0016601446054016326,-0.0005121059494605193
-1.355829012765809,21.752031758312064,0.5917735024601939,0.22278671748124726,6.525114214770548,6.5251142147705465,0.2497143965045323,0.13626616806686065,0.0010478477783234504,0.00016940550369141914
-1.5299019318073648,59.97841001974765,0.05474256694955984,0.505422635324933,6.488817363118823,6.488817363118825,0.2631344109905487,0.13359558366949043,0.001574845948202322,-0.0007710303762554414
-1.5881944164866197,18.447945390631062,0.6386326033884309,0.19634876330310663,6.560703460786728,6.560703460786726,0.24953610578060803,0.14100964168910202,0.0003839479264285153,0.001003598782548073
-1.7477607723335515,56.663484484219055,0.11140893349145517,0.47789720592602786,6.4678395452873065,6.467839545287305,0.25475721571931775,0.13192291892873287,0.0017671433885107365,-0.0008301116722138133
-1.817670496042699,15.140866468462924,0.6887999322818087,0.1686856378676212,6.6079707028905315,6.6079707028905315,0.24891389026828192,0.14659010198004496,-0.00035446799001113765,0.002044150264346933
-1.9690179781418604,53.349839216258445,0.166288831315331,0.45004991437538944,6.441604079797809,6.441604079797811,0.24805565306688793,0.12918244845555715,0.0021192968402147555,-0.0010691781921946598
-10.071059466971876,20.663501473767433,0.6137485795871018,0.08485742679752038,6.541228412399146,6.54122841239915,0.25467448413130456,0.13752907901023947,0.0009140390942586745,0.0001703665259399756
-10.214824742840193,58.94550908841624,0.05836006331342714,0.41249588445115326,6.52278835632392,6.522788356323922,0.25852271933317883,0.1358744985263316,0.0012142313114843948,-0.0003111874382602325
-10.433866476359082,55.62958587619387,0.11520002910855885,0.38411082550995695,6.50244825423947,6.502448254239468,0.25187131731692003,0.1334895284317552,0.0015137052574920665,-0.0004929139224325564
-10.658362207375568,52.31600952262273,0.16906902015663783,0.35545450894945596,6.484067115390612,6.484067115390612,0.2462445951701996,0.13090883991274405,0.001871444150804061,-0.0008188252802186734
-10.888717962840243,49.00560578261068,0.2193151527475358,0.32605607725275926,6.478092572386885,6.478092572386885,0.24119976973821344,0.1292294791005476,0.00212211920120073,-0.0010990772530468259
-11.124396576959063,45.69636006705383,0.26598701150101517,0.2957409918802441,6.481167420802125,6.481167420802123,0.24010560336361098,0.12767110125952763,0.002322218831724888,-0.0011941994394609563
-11.363992122228872,42.38675636211368,0.31098199422925005,0.26471152536642856,6.485750725486383,6.48575072548638,0.2393057962004408,0.127675233502897,0.002317125448712614,-0.0011774841134252342
-11.604546900802664,39.075581432862094,0.35564576064611275,0.23237419136122459,6.486090043261104,6.486090043261104,0.23852933601245974,0.128775260352322,0.0021657095519829147,-0.0010769021176624532
-11.845724640550728,35.76274679692133,0.4008219327512717,0.19927654782423393,6.482112420881483,6.482112420881483,0.24137983959651643,0.13003346019392303,0.0020143630743647547,-0.0010118993596918708
-12.087832262310693,32.449150796391834,0.4468509159559397,0.16543737596899272,6.463852372025324,6.463852372025324,0.2472876043721557,0.13134220228645332,0.001854887612534785,-0.0009310936581595578
-12.329848532338708,29.135202736111477,0.4941864709468104,0.13115537246572279,6.4926240565138436,6.492624056513847,0.25062056137319355,0.13311405198904458,0.0016314545677311326,-0.0007928307435402753
-12.571241736164295,25.8210976037817,0.5427794315970929,0.09613193018656944,6.515493191723609,6.515493191723605,0.2539608264619877,0.13491140489649778,0.0013783619380864837,-0.0005507055358241682
-12.812170357256784,22.50659266658713,0.5924754790632107,0.060804745940899685,6.532940045891099,6.532940045891101,0.25793662992432376,0.13637878500983425,0.001140018473346704,-0.00023087688146016094
-12.964690158810383,60.81057550269455,0.021339241115274365,0.3996650302025457,6.541835286376671,6.541835286376672,0.26326129576646207,0.13780888390359758,0.0008998969315036701,0.00011095313768144127
-13.181742252464657,57.49280626459002,0.07946795818647628,0.3714395793695107,6.528500908328157,6.528500908328155,0.2553966868469001,0.13698386358806747,0.0010216286319131081,-2.1660582784654542e-05
-13.403113836779434,54.176584641865894,0.13545885206739194,0.34235199379246767,6.509530466459619,6.509530466459623,0.25019789884304644,0.13471188185197314,0.001328521945109014,-0.0002778759454182234
-13.630894452778604,50.86318028782009,0.18817042966183747,0.31272395622563265,6.498491530389469,6.498491530389471,0.24525471438691537,0.13282733782014056,0.0016069680309849666,-0.0005822655110392488
-13.864307219433888,47.551851260361765,0.23747486691437478,0.28185855456240533,6.498668254857206,6.498668254857204,0.2412681196346247,0.131123722753812,0.0018259720655981865,-0.0007315864736696416
-14.10230030557129,44.239901226943175,0.28436633859378907,0.2498720312830796,6.504097026170243,6.504097026170244,0.2393308348920402,0.13001257281800427,0.0019514372745802642,-0.0007620983040761876
-14.342807808116275,40.92678983802491,0.33072084082871284,0.2165864252986615,6.508483266733588,6.50848326673359,0.24087909801196528,0.1306143143422479,0.0018913148200345939,-0.0007755771289868016
