shift,z,vec1,vec2,gap
0.0,6.83671199811438,3.226893304192285,3.226893304192244,0.5615318050892504
0.034482758620689655,6.82742676046262,3.2269936108016393,3.226993610801636,0.5613931416982205
0.06896551724137931,6.803449802913256,3.2273602264339742,3.227360226433982,0.5632420865444332
0.10344827586206896,6.760767468414105,3.227876543741875,3.227876543741844,0.5665577058035588
0.13793103448275862,6.707132266805187,3.228627333422884,3.228627333422859,0.568358529527017
0.1724137931034483,6.640257691935663,3.2298996549826473,3.2298996549826566,0.5672318136573856
0.20689655172413793,6.550972510050951,3.2312873478179216,3.2312873478179416,0.5666637597928298
0.24137931034482757,6.444369423596738,3.2330484325810027,3.2330484325809423,0.5594715216812522
0.27586206896551724,6.372661785488054,3.233225729595552,3.23322572959546,0.5531604305139377
0.3103448275862069,6.342338369764214,3.2323200278873925,3.232320027887396,0.5442767031059025
0.3448275862068966,6.338429859225782,3.230846807695709,3.2308468076956287,0.5465520768380898
0.3793103448275862,6.357420647513038,3.229088240113811,3.229088240113822,0.5495297952518086
0.41379310344827586,6.392039292360286,3.227477808969343,3.2274778089692657,0.561117483111856
0.4482758620689655,6.424815776530446,3.22619139141702,3.2261913914170166,0.5743488603709991
0.48275862068965514,6.443031744653355,3.225269442923571,3.22526944292356,0.5871640915420399
0.5172413793103449,6.442768125806751,3.2251553791637613,3.2251553791636782,0.5998435380098704
0.5517241379310345,6.424618728331335,3.2258379255573932,3.225837925557373,0.6149392445426061
0.5862068965517241,6.3957693128761,3.2270026986643177,3.2270026986642857,0.6328111053329107
0.6206896551724138,6.364945829191425,3.2285788312393042,3.228578831239271,0.6445050533103831
0.6551724137931034,6.347741386997415,3.230418099490043,3.2304180994900205,0.6508412050770257
0.6896551724137931,6.351416134970787,3.2322105077722076,3.2322105077722814,0.6493379343747913
0.7241379310344828,6.379780706496311,3.2330762806823485,3.233076280682324,0.642811677345528
0.7586206896551724,6.445806191039678,3.232886696656598,3.232886696656598,0.6229767413228965
0.7931034482758621,6.545929648043886,3.2312206462522868,3.231220646252248,0.6075207295663082
0.8275862068965517,6.638494484914451,3.229687104985214,3.229687104985196,0.589998363059167
0.8620689655172413,6.7070871464139135,3.2284295429034144,3.2284295429034193,0.5795169920679588
0.896551724137931,6.762253719607072,3.22767679219843,3.227676792198445,0.5708047372841335
0.9310344827586207,6.80344473875938,3.2272179894992354,3.227217989499241,0.5644600146069135
0.9655172413793103,6.827368820954927,3.2269888829362783,3.226988882936241,0.5615878107773996
1.0,6.83671199811438,3.2268933041922985,3.226893304192235,0.5615318050882746
