i,j,v1_norm,v2_norm,z_dist
0.0,0.0,3.2262629524655875,3.226262952481849,6.93354729
0.0,0.07142857142857142,3.2252871612705176,3.2253989396893994,6.90880187
0.0,0.14285714285714285,3.2252029097342336,3.225782645849764,6.86389764
0.0,0.21428571428571427,3.2250992006396833,3.2265644833072895,6.79358052
0.0,0.2857142857142857,3.2260177855024295,3.2276617515081645,6.60614142
0.0,0.3571428571428571,3.225469637991709,3.227660042139063,6.59505538
0.0,0.42857142857142855,3.2245593122991836,3.2272185825702002,6.58739065
0.0,0.5,3.2244452746702046,3.232729811749278,6.46186231
0.0,0.5714285714285714,3.224484395087916,3.2272195750021577,6.58740393
0.0,0.6428571428571428,3.225347349160187,3.227666610123829,6.59507483
0.0,0.7142857142857142,3.2258532610581416,3.22766105482282,6.60618251
0.0,0.7857142857142857,3.2248447097857897,3.226565255246348,6.79396995
0.0,0.8571428571428571,3.2250147229045028,3.2257719338047464,6.86425622
0.0,0.9285714285714285,3.225177337230035,3.225379254596197,6.90866914
0.0,1.0,3.226262952466343,3.2262629524826436,6.93354729
0.07142857142857142,0.0,3.2253989745490617,3.2252871277542234,6.90880187
0.07142857142857142,0.07142857142857142,3.2255312059912153,3.225531205996942,6.88002696
0.07142857142857142,0.14285714285714285,3.2256479650143657,3.2261299426673293,6.82465556
0.07142857142857142,0.21428571428571427,3.225445559177193,3.226977424266938,6.7353086
0.07142857142857142,0.2857142857142857,3.2262420425694645,3.227745197319465,6.59936733
0.07142857142857142,0.3571428571428571,3.2253056147448533,3.2273888460900335,6.59048719
0.07142857142857142,0.42857142857142855,3.223842416773809,3.2313361215799152,6.47559163
0.07142857142857142,0.5,3.2233548752408017,3.231311457529892,6.47578122
0.07142857142857142,0.5714285714285714,3.2247932641591737,3.2273723665829515,6.59048304
0.07142857142857142,0.6428571428571428,3.2255105985872,3.2277307647306093,6.59934682
0.07142857142857142,0.7142857142857142,3.224141502179461,3.227021748797274,6.73422497
0.07142857142857142,0.7857142857142857,3.224693262764055,3.2261480602607056,6.82441133
0.07142857142857142,0.8571428571428571,3.2249039892593725,3.2265864148998165,6.87902571
0.07142857142857142,0.9285714285714285,3.2251737125228286,3.2252635758089694,6.9082651
0.07142857142857142,1.0,3.2253989745488534,3.2252871277538704,6.90880187
0.14285714285714285,0.0,3.2257826753537784,3.225202882808664,6.8638976
0.14285714285714285,0.07142857142857142,3.22612996331819,3.225647946385096,6.82465557
0.14285714285714285,0.14285714285714285,3.2261983191452313,3.2261983191620986,6.75011908
0.14285714285714285,0.21428571428571427,3.226826250207346,3.227364801437725,6.60178394
0.14285714285714285,0.2857142857142857,3.226006815421138,3.2271561939789493,6.59223605
0.14285714285714285,0.3571428571428571,3.2248992239399357,3.2266841033770555,6.5850436
0.14285714285714285,0.42857142857142855,3.22538675471331,3.2307451159033063,6.44998676
0.14285714285714285,0.5,3.2236251849008744,3.2297872077094674,6.48049504
0.14285714285714285,0.5714285714285714,3.2248896674912735,3.2271176991711914,6.59217579
0.14285714285714285,0.6428571428571428,3.225457124615707,3.227342625630907,6.60170425
0.14285714285714285,0.7142857142857142,3.2240376002200963,3.227374788025291,6.74846928
