i,j,v1_norm,v2_norm,z_dist,gap
0.0,0.0,3.2262304611376384,3.2262304611527473,6.932715182300198,0.31809008927337534
0.0,0.041666666666666664,3.226061154021891,3.226080139624152,6.9181823651194225,0.32213169689030197
0.0,0.08333333333333333,3.226225868122029,3.2263713007527577,6.907318163805812,0.32178085247904176
0.0,0.125,3.22615999596514,3.226554787578797,6.8822194202160265,0.3246806802558373
0.0,0.16666666666666666,3.226140097072772,3.2269155292620435,6.845195818550634,0.32969527957942446
0.0,0.20833333333333331,3.225977837089286,3.227330642093329,6.799974311491514,0.33549050661276003
0.0,0.25,3.2257258889987237,3.227863350339361,6.743029555368414,0.34337627813509475
0.0,0.29166666666666663,3.225622831783879,3.2287087237010828,6.6800045976268265,0.3467319686988176
0.0,0.3333333333333333,3.22635400150095,3.22832859525641,6.598238318836879,0.355935172217848
0.0,0.375,3.22576447130595,3.228049201190381,6.592751661867503,0.3586357995345818
0.0,0.41666666666666663,3.2252204233417787,3.231302835422548,6.506360753335494,0.3660465855870364
0.0,0.4583333333333333,3.225237521824481,3.231694072154829,6.470931290081339,0.37038747845220144
0.0,0.5,3.2255236936236877,3.2306227141065094,6.457513215196867,0.37334412346714985
0.0,0.5416666666666666,3.2251541681103184,3.231708251416985,6.470495185960905,0.370440010226881
0.0,0.5833333333333333,3.2249888689096924,3.2310941996550935,6.506737236704302,0.36708437203416
0.0,0.625,3.2256213907572837,3.228064877056315,6.592639556123656,0.3589094797565754
0.0,0.6666666666666666,3.2261947274981444,3.2283246756438637,6.598266989237333,0.35651260489002146
0.0,0.7083333333333333,3.2252557695713677,3.228840480420108,6.681711571748984,0.3469981452302541
0.0,0.75,3.225535067057328,3.2279393231499274,6.7442243328933795,0.34124961519817976
0.0,0.7916666666666666,3.2257329678256252,3.227367573675436,6.800064336527914,0.33544557794604113
0.0,0.8333333333333333,3.2259601213411386,3.2269516213986695,6.846336518873672,0.32943802684628065
0.0,0.875,3.2259259454655504,3.2264681966218496,6.883205699584037,0.32608803473674774
0.0,0.9166666666666666,3.22609527412515,3.2263355808794176,6.907868166701688,0.3219674915429651
0.0,0.9583333333333333,3.2262441349035136,3.2263154931496256,6.919306724993179,0.32026931537454173
0.0,1.0,3.226230461137025,3.2262304611521673,6.932715182409426,0.3180900890284384
0.041666666666666664,0.0,3.2260801778475665,3.2260611164339825,6.918182363478028,0.322132170403727
0.041666666666666664,0.041666666666666664,3.2263148560906076,3.226314856103777,6.9117093791208255,0.32077614539892807
0.041666666666666664,0.08333333333333333,3.226359607423167,3.2264870207824052,6.892522889065285,0.3234814392254741
0.041666666666666664,0.125,3.2264168221997855,3.2267959167731695,6.862386159237731,0.32633740559428737
0.041666666666666664,0.16666666666666666,3.2262493336427016,3.227023402443443,6.823031077461929,0.3318792922677044
0.041666666666666664,0.20833333333333331,3.226184579592571,3.2276095696531684,6.769541283473741,0.33822095516129125
0.041666666666666664,0.25,3.2260695566969537,3.228232061197929,6.710395622904038,0.3414099160921976
0.041666666666666664,0.29166666666666663,3.226616438587646,3.2282584647566464,6.6015734903704075,0.3511228418297295
0.041666666666666664,0.3333333333333333,3.2262369035360905,3.2281845722545244,6.5952631117830425,0.3525702788657994
0.041666666666666664,0.375,3.2255105689898422,3.230743020974892,6.530455409351125,0.3552870684725129
0.041666666666666664,0.41666666666666663,3.225361318999031,3.2315751618436837,6.486718830518216,0.36153412989717815
0.041666666666666664,0.4583333333333333,3.2253237521304703,3.2311342346483323,6.459691675898556,0.36543416806369744
0.041666666666666664,0.5,3.225235117258761,3.231190292409613,6.459298662696394,0.365472849205284
0.041666666666666664,0.5416666666666666,3.224863721992983,3.231599319825426,6.486369418901129,0.3616788604904543
0.041666666666666664,0.5833333333333333,3.224718892297855,3.2309254912635974,6.530835260356522,0.3568013768902806
0.041666666666666664,0.625,3.2257983588734094,3.228185679651059,6.595199054400535,0.353176267658043
0.041666666666666664,0.6666666666666666,3.226087616954917,3.2282451342024916,6.601459930329677,0.35169543847003937
0.041666666666666664,0.7083333333333333,3.225068715913702,3.2280839325155357,6.708466241206439,0.34140625393017765
0.041666666666666664,0.75,3.225287927117242,3.227599200646956,6.770028897635115,0.33871268245417396
0.041666666666666664,0.7916666666666666,3.2255287507556707,3.2270496006761555,6.821183590917814,0.3324013490688913
0.041666666666666664,0.8333333333333333,3.225889900673722,3.226805946612335,6.862478704368334,0.3265515691172878
0.041666666666666664,0.875,3.2258889527378107,3.226389296035178,6.892278931118598,0.3241840246513815
0.041666666666666664,0.9166666666666666,3.225975718615868,3.2261433973038725,6.912610570477128,0.3216669445834359
0.041666666666666664,0.9583333333333333,3.2260393843292663,3.226103816027087,6.917838205757336,0.3215659994151052
0.041666666666666664,1.0,3.226080177846749,3.2260611164342454,6.918182363495289,0.32213217041823006
0.08333333333333333,0.0,3.226371344838517,3.2262258358509905,6.9073175579556665,0.3217814109365891
0.08333333333333333,0.041666666666666664,3.2264870510192973,3.2263596039345175,6.892522054552272,0.3234819912346131
0.08333333333333333,0.08333333333333333,3.2266161478784765,3.226616147890221,6.8677917441430125,0.3253134941224993
0.08333333333333333,0.125,3.226580692957981,3.2268457389696645,6.8304965458991855,0.32992660728651657
0.08333333333333333,0.16666666666666666,3.226537747482872,3.22725201305207,6.7874710305753645,0.3340871532825129
0.08333333333333333,0.20833333333333331,3.2264920142319355,3.227864260847782,6.729724654674209,0.3380655702466703
0.08333333333333333,0.25,3.226590168213088,3.22882793776288,6.66598525510838,0.34015789702584354
0.08333333333333333,0.29166666666666663,3.2266108341044317,3.228117544711124,6.597296982437692,0.34795108827032684
0.08333333333333333,0.3333333333333333,3.2260920539987583,3.227954063010529,6.591874708046969,0.348025460778026
0.08333333333333333,0.375,3.2256112977275957,3.2310737852139155,6.5004414252768665,0.35626885965060295
0.08333333333333333,0.41666666666666663,3.2254667690682526,3.2315007638490787,6.466156097544582,0.35692557861933893
0.08333333333333333,0.4583333333333333,3.225569180930426,3.2311252569758557,6.45296481880913,0.3550137446412658
