shift,z_dist,gap,gap_soc,gap_scissors,gap_scissors_soc
0.0,6.926512437154598,0.4365288672051584,0.1881707030439519,1.3026620198850583,1.0543509703250158
0.034482758620689655,6.94113448045943,0.43519742400489925,0.18687708609345077,1.3054107577730634,1.057171868355638
0.06896551724137931,6.861554154188326,0.44705286238438424,0.19894992293507086,1.2982002152269128,1.0500406904898267
0.10344827586206896,6.820206230997801,0.4507225889078963,0.20276203496104916,1.297044228683144,1.0490129289501546
0.13793103448275862,6.743926920845219,0.45697198903518277,0.20919283256800236,1.297448475411204,1.0495519064796803
0.1724137931034483,6.654058155958625,0.4577989935529512,0.21020243459767074,1.2889558270017778,1.041158295375542
0.20689655172413793,6.596342059060786,0.45485549819730375,0.2074154055467725,1.278526791061949,1.0309143487187407
0.24137931034482757,6.468579195282597,0.4598757861204722,0.21271436632028906,1.2636479030301173,1.016260248454511
0.27586206896551724,6.399527975508052,0.4531293393626944,0.20613354059692957,1.250390402091224,1.0032694487347285
0.3103448275862069,6.382971459612195,0.4474529652526613,0.2004869803147009,1.2411894863720458,0.9942196423839469
0.3448275862068966,6.371536497612473,0.44612185933344506,0.19924620471812393,1.2448169313159472,0.9979164319305304
0.3793103448275862,6.375466557265717,0.44939968005719333,0.20254350783435815,1.2460991572400295,0.9990833284238748
0.41379310344827586,6.408501219156346,0.46077830813276255,0.21398055912557468,1.256769871918788,1.0097743193208495
0.4482758620689655,6.423993247831282,0.472897997751072,0.22622260686811413,1.2710738290289005,1.0241140251100682
0.48275862068965514,6.450001907297471,0.48857950464149646,0.24214843314475276,1.2908340970836676,1.0440728470245504
0.5172413793103449,6.434171613273193,0.5046554134531172,0.2585250054670388,1.3065818062268009,1.05992538949249
0.5517241379310345,6.417040146406295,0.5231668597760315,0.27737422410511814,1.3217680870577437,1.075227883721026
0.5862068965517241,6.376162442188537,0.5487844787859462,0.3034208717000294,1.315239725290958,1.0900743336967207
0.6206896551724138,6.342290090385065,0.5688765405242145,0.32382525278023033,1.305412731655927,1.1044077189385768
0.6551724137931034,6.330418339175358,0.5733501912076984,0.328480473378301,1.299902308546418,1.1073631721138129
0.6896551724137931,6.328152503699492,0.5727204447943298,0.32783747626170556,1.2969680930256648,1.106262500249332
0.7241379310344828,6.374831159938564,0.5596356523738348,0.314391474030437,1.3195190868929418,1.0986304946173115
0.7586206896551724,6.433084424282393,0.5340022736864,0.28809861621560684,1.331814191544553,1.0851856672829796
0.7931034482758621,6.53208829929485,0.5086801920374602,0.26204023813440813,1.3230896873985876,1.076068793252785
0.8275862068965517,6.6372324692456175,0.4834014874249103,0.23619006218833172,1.3116156689745289,1.064176377251095
0.8620689655172413,6.742577221485291,0.4663276329062441,0.21870289500092432,1.3061614457604973,1.0584240832115221
0.896551724137931,6.824365905011577,0.45571276715119313,0.20777532628744255,1.3025105257106144,1.0545059910972125
0.9310344827586207,6.8714770129105744,0.4474990224710832,0.19937916240800224,1.302842002033716,1.054700545330066
0.9655172413793103,6.896845039269598,0.43812984925903686,0.18994465390139093,1.3011683538093397,1.0529825990710733
1.0,6.926512445243434,0.43652886768438803,0.18817070350702425,1.302662005562744,1.0543509559215882
