shift,z_dist,gap,gap_soc,gap_scissors,gap_scissors_soc
65,6.2,0.7567734413823838,0.7162795006500801,1.3967145147357019,1.3534860765502104
65,6.294736842105263,0.7926342197824716,0.7496444274896149,1.4542063659617532,1.4086313562669688
65,6.389473684210526,0.8205732659700872,0.7300100681010102,1.4934333450302908,1.4451320687336993
65,6.48421052631579,0.8446791339381013,0.7064265530951149,1.5342930898247982,1.4669372349898437
65,6.578947368421053,0.862988390790922,0.6835583810210786,1.5755613928323267,1.465143512972739
65,6.673684210526316,0.8758302607894782,0.6618541455769883,1.6080872993156499,1.4596141432246723
65,6.768421052631579,0.8827154414865956,0.6393903314574453,1.6257601422037207,1.4426733159384633
65,6.863157894736842,0.8875766741126241,0.6227328636354656,1.6476366456879796,1.4360973608947571
65,6.957894736842105,0.872735436556342,0.6078128486721395,1.6675362790756476,1.4313050571673518
65,7.052631578947368,0.8540901991987762,0.5891905893367662,1.685280758777399,1.4284837167863316
65,7.147368421052631,0.8436858560574714,0.5787263777378108,1.6877120712198759,1.4225513940638317
65,7.242105263157895,0.8302919462371404,0.565312526219209,1.6904638125537785,1.4252807566013124
65,7.336842105263158,0.8228379463174471,0.557811672097463,1.6944035131015405,1.4291769712737126
65,7.431578947368421,0.8179388056238921,0.5528620527065117,1.6876306919582036,1.4223347744114165
65,7.526315789473684,0.8115982195719387,0.5465085242003064,1.697669994969873,1.4323137034865518
65,7.621052631578947,0.808946620655755,0.5437766854158288,1.6951492193219624,1.4296993821171222
65,7.715789473684211,0.8051576346925547,0.539971521172103,1.697881246792314,1.4323336769749486
65,7.810526315789474,0.8031590857662405,0.5379487701510232,1.6943814488722646,1.428690401911565
65,7.905263157894737,0.8008815575590644,0.5356665247665379,1.6970357908705096,1.4311683897397833
65,8.0,0.7965967861025152,0.5313885140172554,1.7040653732439077,1.438157441109724
