shift,z_dist,gap,gap_soc,gap_scissors,gap_scissors_soc
0.0,6.25,0.6013867809335216,0.562758412929477,1.237535097695155,1.1957645426234165
0.034482758620689655,6.25,0.606628403786228,0.5682158901334294,1.2426658205356564,1.2010882817388153
0.06896551724137931,6.25,0.6194553217979815,0.5809351777028606,1.2560684932071844,1.214002303105159
0.10344827586206896,6.25,0.6375337884452921,0.5985180250910023,1.2758781284279324,1.232745244666814
0.13793103448275862,6.25,0.6542492335421659,0.6142486969966336,1.2988267903974329,1.2546370353920684
0.1724137931034483,6.25,0.6684298288253392,0.6276404856681527,1.3156543641137408,1.2704434897122407
0.20689655172413793,6.25,0.6776821388646334,0.6358780329923278,1.3287514273529952,1.2828830822435688
0.24137931034482757,6.25,0.6806149398278749,0.6377414607274212,1.3383595169861193,1.2915755838615235
0.27586206896551724,6.25,0.6818906037491743,0.6381720946923344,1.3425749047203155,1.2947482819177578
0.3103448275862069,6.25,0.679543583202558,0.63516951457157,1.3428085226247308,1.2942626612962491
0.3448275862068966,6.25,0.6802799118777337,0.6356113685754171,1.344058992814982,1.2951861870461814
0.3793103448275862,6.25,0.6805719499017939,0.6358259404585697,1.3444633503434753,1.2956059584288453
0.41379310344827586,6.25,0.6843271637122738,0.6397495509531015,1.3493567773102644,1.3009383037787838
0.4482758620689655,6.25,0.6934492694402867,0.6492704657618764,1.3554188166526178,1.3076074069579628
0.48275862068965514,6.25,0.7092623118835684,0.6656946306292414,1.3658503308445789,1.3187362984181346
0.5172413793103449,6.25,0.7238646296578151,0.6808048514539287,1.3786737338284256,1.3323684204834412
0.5517241379310345,6.25,0.743047611928777,0.7005525553836858,1.3983689720810353,1.3529348584876033
0.5862068965517241,6.25,0.7547072459091403,0.7124551640170871,1.4113466322647215,1.3663654545300936
0.6206896551724138,6.25,0.7682656362786661,0.7262894275462849,1.4179276454457028,1.3731527458640667
0.6551724137931034,6.25,0.7758495557230475,0.7339866723336183,1.424674804038503,1.3800693562255406
0.6896551724137931,6.25,0.7739083652704768,0.7320194857299464,1.4232345503632917,1.3785802860245824
0.7241379310344828,6.25,0.7647753028373254,0.7228872750881141,1.4137524748629535,1.3689951270082024
0.7586206896551724,6.25,0.7515287262837806,0.7097807047358661,1.3982638324230037,1.3535042486906341
0.7931034482758621,6.25,0.728982301220645,0.6874293241187734,1.3758153813939002,1.3312063639523948
0.8275862068965517,6.25,0.7026956858592992,0.6614834931492832,1.3458739703774703,1.3014675226418357
0.8620689655172413,6.25,0.6737283426449133,0.632973009822104,1.314294182669264,1.2702936172324217
0.896551724137931,6.25,0.6449469816435255,0.6047479942473885,1.2847909544632738,1.2413723141594826
0.9310344827586207,6.25,0.6219281557005747,0.5823055887955751,1.2579972854270145,1.2151562852063853
0.9655172413793103,6.25,0.6068760367498136,0.5678243407610302,1.2428143545917936,1.2005881348108969
1.0,6.25,0.6013867809452552,0.5627584129415273,1.2375350976945487,1.1957645426228285
