shift,z_dist,gap
0.0,6.960993356500563,0.7166100086998282
0.034482758620689655,6.969543549333006,0.7181176295583669
0.06896551724137931,6.928008796732639,0.7213383500448778
0.10344827586206896,6.882501221701698,0.7262419355396211
0.13793103448275862,6.798749545166734,0.7340456809288574
0.1724137931034483,6.6956778564588415,0.7405674872582001
0.20689655172413793,6.598359646782734,0.745823475743036
0.24137931034482757,6.54162506853913,0.7451395020592272
0.27586206896551724,6.482974370002367,0.7433647227770126
0.3103448275862069,6.446262861340179,0.7409744043547494
0.3448275862068966,6.43362390763823,0.7394041856525391
0.3793103448275862,6.468978306914321,0.742403129287151
0.41379310344827586,6.4762038226736,0.7481705172322757
0.4482758620689655,6.499542433609577,0.758292386913945
0.48275862068965514,6.517379522321281,0.7688542259839928
0.5172413793103449,6.504087080453646,0.7810554136397023
0.5517241379310345,6.460577957861167,0.8006090320298952
0.5862068965517241,6.4482285093905904,0.8127222136579623
0.6206896551724138,6.417686889105861,0.8288696963651828
0.6551724137931034,6.398764724693988,0.8340061194603358
0.6896551724137931,6.413409019145602,0.831492971052655
0.7241379310344828,6.437579666719786,0.822004055969479
0.7586206896551724,6.5134558554506885,0.8014511418668813
0.7931034482758621,6.597624532366321,0.7780192786776093
0.8275862068965517,6.69109198194492,0.7580621479410553
0.8620689655172413,6.799904490129222,0.7419453224433958
0.896551724137931,6.853382965211987,0.7318615413394747
0.9310344827586207,6.910998374920055,0.7248307848160921
0.9655172413793103,6.932228860968873,0.7200046597632781
1.0,6.9609933558840105,0.7166100085810296
